"number","station_no","dam_name","reservoir","latitude","longitude","province","wma","place","catchment_area","fsc_1_000_000m_million_m","type","actual_lvl_20151130_million_m","actual_lvl_20151207_million_m","actual_lvl_20151214_million_m","actual_lvl_20151221_million_m","actual_lvl_20151228_million_m","actual_lvl_20160104_million_m","actual_lvl_20160111_million_m","actual_lvl_20160118_million_m","actual_lvl_20160125_million_m","actual_lvl_20160201_million_m","actual_lvl_20160208_million_m","actual_lvl_20160215_million_m","actual_lvl_20160229_million_m","actual_lvl_20160307_million_m","actual_lvl_20160314_million_m","actual_lvl_20160321_million_m","_20151123_percent_full","_20151130_percent_full","_20151207_percent_full","_20151214_percent_full","_20151221_percent_full","_20151228_percent_full","_20150104_percent_full","_20160111_percent_full","_20160118_percent_full","_20160125_percent_full","_20160201_percent_full","_20160208_percent_full","_20160215_percent_full","_20160229_percent_full","_20160307_percent_full","_20160314_percent_full","_20160321_percent_full","_2015_week_11_percent_full"
"209","S3R001","Waterdown Dam ","Waterdown","32.28539","26.859169999999999","EC","12","Klipplaat River @ Waterdown Dam","602","37.441000000000003",,"37.545999999999999","37.414000000000001","37.151000000000003","36.863",,,"35.645000000000003","35.337000000000003",,"34.625","34.322000000000003","33.945999999999998","33.521999999999998","33.746000000000002","35.927999999999997","34.195999999999998","100.4","100.3","99.9","99.2","98.5",,,"95.2","94.4",,"92.5","91.7","90.7","89.5","90.1","96","91.3","99.6"
"210","S3R003","Oxkraal Dam ","Oxkraal","32.205199999999998","26.7608","EC","12","Oskraal River @ Oxkraal Dam","391","14.829000000000001",,"14.422000000000001","13.96","14.786",,,,"9.6760000000000002","9.35",,"8.8610000000000007","8.5079999999999991","7.9470000000000001","7.59","7.2309999999999999","7.8029999999999999","7.8460000000000001","97.5","97.3","94.1","99.7",,,,"65.2","63.1",,"59.8","57.4","53.6","51.2","48.8","52.6","52.9","97.5"
"211","S5R001","Ncora Dam ","Ncora","31.786079999999998","27.677669999999999","EC","12","Tsomo River @ Ncora Dam","1173","147.28",,"73.05","72.766999999999996","72.108000000000004","71.453000000000003",,,"73.429000000000002","74.094999999999999",,"97.206000000000003","102.01","102.23","109.75","107.52","108.22","111.29","49.7","49.6","49.4","49","48.5",,,"49.9","50.3",,"66","69.3","69.400000000000006","74.5","73","73.5","75.599999999999994","95.3"
"212","S5R002","Tsojana Dam","Tsojana",,,"EC","12",,,"12.272",,"12.146000000000001","12.131","12.116","12.102",,,"12.073","12.087",,"12.272","12.272","12.262","12.272","12.233000000000001","12.272","12.272","99.1","99","98.8","98.7","98.6",,,"98.4","98.5",,"100","100","99.9","100","99.7","100","100","100"
"213","S6R001","Gubu Dam ","Gubu","32.609639999999999","27.278739999999999","EC","12","Gubu River @ Gubu Dam","23","8.5039999999999996",,"8.5039999999999996","8.5259999999999998","8.4939999999999998","8.44",,,"8.2360000000000007","8.2360000000000007",,"8.1310000000000002","8.1310000000000002","8.0779999999999994","8.141","8.1199999999999992","8.4719999999999995","8.548","99.9","100","100.3","99.9","99.2",,,"96.8","96.8",,"95.6","95.6","95","95.7","95.5","99.6","100.5","100.6"
"214","S6R002","Wriggleswade Dam ","Wriggleswade","32.578319999999998","27.558789999999998","EC","12","Kubisi River @ Wriggleswade Dam","447","91.471000000000004",,"91.171000000000006","91.370999999999995","91.471000000000004","91.070999999999998",,,"90.870999999999995","89.876999999999995",,"89.481999999999999","89.977000000000004","89.778999999999996","90.373000000000005","90.274000000000001","92.772999999999996","91.671000000000006","99.7","99.7","99.9","100","99.6",,,"99.3","98.3",,"97.8","98.4","98.2","98.8","98.7","101.4","100.2","100.3"
"215","S7R001","Gcuwa Dam ","Gcuwa","32.319690000000001","28.134979999999999","EC","12","Gcuwa River @ Gcuwa Dam","712","0.60099999999999998",,"0.40400000000000003","0.55300000000000005","0.60099999999999998","0.501",,,"0.51600000000000001","0.35299999999999998",,"0.51600000000000001","0.40600000000000003","0.24199999999999999","0.60099999999999998","0.58799999999999997","0.60099999999999998",,"87.2","67.099999999999994","91.9","100","83.4",,,"85.8","58.7",,"85.8","67.400000000000006","40.200000000000003","100","97.7","100",,"68.099999999999994"
"216","S7R002","Xilinxa Dam ","Xilinxa","32.142290000000003","28.09938","EC","12","Xilinxa River @ Xilinxa Dam","199","13.823",,"6.181","5.7069999999999999","5.6449999999999996","5.569",,,"4.931","4.633",,"4.3840000000000003","4.508","4.3979999999999997","3.8290000000000002","3.7650000000000001","3.97","4.0350000000000001","45","44.7","41.3","40.9","40.299999999999997",,,"35.700000000000003","33.5",,"31.7","32.6","31.8","27.7","27.2","28.7","29.2","70.599999999999994"
"217","S7R003","Toleni Dam","Toleni","31.551030000000001","28.741","EC","12","Mtata River @ Umtata Dam","886","0.17699999999999999",,"0.13100000000000001","0.128","0.124","0.11899999999999999",,,"0.098000000000000004","0.094",,"0.081000000000000003","0.079000000000000001","0.072999999999999995","0.081000000000000003",,"0.090999999999999998","0.097000000000000003","75.3","73.900000000000006","72.5","70.2","67.3",,,"55.4","53.2",,"45.9","44.9","41","45.9",,"51.2","55.1","79.7"
,"T2R001","Umtata","Umtata",,,"EC",,,,"244.67",,,"244.85","245.87","245.87",,,"244.6","246.13",,"246.63","247.65","246.38","246.13","245.62","247.65","247.4",,,"100.1","100.5","100.5",,,"100","100.6",,"100.8","101.2","100.7","100.6","100.4","101.2","101.1","101.2"
